"","species","species.code","route","stop","date","year","occ.hist","julday","time.m","cloud.cover","wind","noise","snow.cover","precip","temp","lat","long"
"5031","Northern Saw-whet Owl","NSWO","13-2-A",7,"2004-03-05","2004","0000000000000000",65,150,28.7106598984772,1,2,1.74016686531585,0,2,NA,NA
"5032","Barred Owl","BARR","13-2-A",8,"2004-03-05","2004","0000000000000000",65,170,28.7106598984772,1,2,1.74016686531585,0,1,NA,NA
"5033","Great Horned Owl","GHOW","13-2-A",8,"2004-03-05","2004","0110100011001001",65,170,28.7106598984772,1,2,1.74016686531585,0,1,NA,NA
"5034","Northern Saw-whet Owl","NSWO","13-2-A",8,"2004-03-05","2004","0000000000000000",65,170,28.7106598984772,1,2,1.74016686531585,0,1,NA,NA
"5035","Barred Owl","BARR","13-2-A",9,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5036","Great Horned Owl","GHOW","13-2-A",9,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5037","Northern Saw-whet Owl","NSWO","13-2-A",9,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5038","Barred Owl","BARR","13-2-A",10,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5039","Great Horned Owl","GHOW","13-2-A",10,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5040","Northern Saw-whet Owl","NSWO","13-2-A",10,"2004-03-05","2004","0000000000000000",65,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1981","Barred Owl","BARR","06-2-A",1,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1982","Great Horned Owl","GHOW","06-2-A",1,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1983","Northern Saw-whet Owl","NSWO","06-2-A",1,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1984","Barred Owl","BARR","06-2-A",2,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1985","Great Horned Owl","GHOW","06-2-A",2,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1986","Northern Saw-whet Owl","NSWO","06-2-A",2,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1987","Barred Owl","BARR","06-2-A",3,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1988","Great Horned Owl","GHOW","06-2-A",3,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1989","Northern Saw-whet Owl","NSWO","06-2-A",3,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1990","Barred Owl","BARR","06-2-A",4,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1991","Great Horned Owl","GHOW","06-2-A",4,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1992","Northern Saw-whet Owl","NSWO","06-2-A",4,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"1993","Barred Owl","BARR","06-2-A",5,"2004-03-10","2004","0000000000000000",70,86,0,0,1,1,0,0.26833855799373,44.028618,-69.826012
"1994","Great Horned Owl","GHOW","06-2-A",5,"2004-03-10","2004","1110010011111011",70,86,0,0,1,1,0,0.26833855799373,44.028618,-69.826012
"1995","Northern Saw-whet Owl","NSWO","06-2-A",5,"2004-03-10","2004","0000000000000000",70,86,0,0,1,1,0,0.26833855799373,44.028618,-69.826012
"1996","Barred Owl","BARR","06-2-A",6,"2004-03-10","2004","0000000000000000",70,102,10,0,1,1,0,0.26833855799373,44.017756,-69.830647
"1997","Great Horned Owl","GHOW","06-2-A",6,"2004-03-10","2004","0000000001011000",70,102,10,0,1,1,0,0.26833855799373,44.017756,-69.830647
"1998","Northern Saw-whet Owl","NSWO","06-2-A",6,"2004-03-10","2004","0000000000000000",70,102,10,0,1,1,0,0.26833855799373,44.017756,-69.830647
"1999","Barred Owl","BARR","06-2-A",7,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2000","Great Horned Owl","GHOW","06-2-A",7,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2001","Northern Saw-whet Owl","NSWO","06-2-A",7,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2002","Barred Owl","BARR","06-2-A",8,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2003","Great Horned Owl","GHOW","06-2-A",8,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2004","Northern Saw-whet Owl","NSWO","06-2-A",8,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2005","Barred Owl","BARR","06-2-A",9,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2006","Great Horned Owl","GHOW","06-2-A",9,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2007","Northern Saw-whet Owl","NSWO","06-2-A",9,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2008","Barred Owl","BARR","06-2-A",10,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2009","Great Horned Owl","GHOW","06-2-A",10,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"2010","Northern Saw-whet Owl","NSWO","06-2-A",10,"2004-03-10","2004","0000000000000000",70,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"631","Barred Owl","BARR","03-2-B",1,"2004-03-17","2004","0000000000000000",77,0,90,3,1,2,0,-3,NA,NA
"632","Great Horned Owl","GHOW","03-2-B",1,"2004-03-17","2004","0000000000100000",77,0,90,3,1,2,0,-3,NA,NA
"633","Northern Saw-whet Owl","NSWO","03-2-B",1,"2004-03-17","2004","0000000000000000",77,0,90,3,1,2,0,-3,NA,NA
"634","Barred Owl","BARR","03-2-B",2,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"635","Great Horned Owl","GHOW","03-2-B",2,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"636","Northern Saw-whet Owl","NSWO","03-2-B",2,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"637","Barred Owl","BARR","03-2-B",3,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"638","Great Horned Owl","GHOW","03-2-B",3,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"639","Northern Saw-whet Owl","NSWO","03-2-B",3,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"640","Barred Owl","BARR","03-2-B",4,"2004-03-17","2004","0000000000000000",77,60,80,4,1,2,0,-3,NA,NA
"641","Great Horned Owl","GHOW","03-2-B",4,"2004-03-17","2004","0000000000000011",77,60,80,4,1,2,0,-3,NA,NA
"642","Northern Saw-whet Owl","NSWO","03-2-B",4,"2004-03-17","2004","0000000000000000",77,60,80,4,1,2,0,-3,NA,NA
"643","Barred Owl","BARR","03-2-B",5,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"644","Great Horned Owl","GHOW","03-2-B",5,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"645","Northern Saw-whet Owl","NSWO","03-2-B",5,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"646","Barred Owl","BARR","03-2-B",6,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"647","Great Horned Owl","GHOW","03-2-B",6,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"648","Northern Saw-whet Owl","NSWO","03-2-B",6,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"649","Barred Owl","BARR","03-2-B",7,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"650","Great Horned Owl","GHOW","03-2-B",7,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"651","Northern Saw-whet Owl","NSWO","03-2-B",7,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"652","Barred Owl","BARR","03-2-B",8,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"653","Great Horned Owl","GHOW","03-2-B",8,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"654","Northern Saw-whet Owl","NSWO","03-2-B",8,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"655","Barred Owl","BARR","03-2-B",9,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"656","Great Horned Owl","GHOW","03-2-B",9,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"657","Northern Saw-whet Owl","NSWO","03-2-B",9,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"658","Barred Owl","BARR","03-2-B",10,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"659","Great Horned Owl","GHOW","03-2-B",10,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"660","Northern Saw-whet Owl","NSWO","03-2-B",10,"2004-03-17","2004","0000000000000000",77,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5581","Barred Owl","BARR","14-1-A",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5582","Great Horned Owl","GHOW","14-1-A",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5583","Northern Saw-whet Owl","NSWO","14-1-A",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5584","Barred Owl","BARR","14-1-A",2,"2004-03-20","2004","0000000000001000",80,39,0,0,1,2,0,-10,NA,NA
"5585","Great Horned Owl","GHOW","14-1-A",2,"2004-03-20","2004","0000000000000000",80,39,0,0,1,2,0,-10,NA,NA
"5586","Northern Saw-whet Owl","NSWO","14-1-A",2,"2004-03-20","2004","0000011111000011",80,39,0,0,1,2,0,-10,NA,NA
"5587","Barred Owl","BARR","14-1-A",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5588","Great Horned Owl","GHOW","14-1-A",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5589","Northern Saw-whet Owl","NSWO","14-1-A",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5590","Barred Owl","BARR","14-1-A",4,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5591","Great Horned Owl","GHOW","14-1-A",4,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5592","Northern Saw-whet Owl","NSWO","14-1-A",4,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5593","Barred Owl","BARR","14-1-A",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5594","Great Horned Owl","GHOW","14-1-A",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5595","Northern Saw-whet Owl","NSWO","14-1-A",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5596","Barred Owl","BARR","14-1-A",6,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5597","Great Horned Owl","GHOW","14-1-A",6,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5598","Northern Saw-whet Owl","NSWO","14-1-A",6,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5599","Barred Owl","BARR","14-1-A",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5600","Great Horned Owl","GHOW","14-1-A",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5601","Northern Saw-whet Owl","NSWO","14-1-A",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5602","Barred Owl","BARR","14-1-A",8,"2004-03-20","2004","0110000000100000",80,176,28.7106598984772,0,1,2,0,-9,NA,NA
"5603","Great Horned Owl","GHOW","14-1-A",8,"2004-03-20","2004","0000000000000000",80,176,28.7106598984772,0,1,2,0,-9,NA,NA
"5604","Northern Saw-whet Owl","NSWO","14-1-A",8,"2004-03-20","2004","0000000000000000",80,176,28.7106598984772,0,1,2,0,-9,NA,NA
"5605","Barred Owl","BARR","14-1-A",9,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5606","Great Horned Owl","GHOW","14-1-A",9,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5607","Northern Saw-whet Owl","NSWO","14-1-A",9,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"5608","Barred Owl","BARR","14-1-A",10,"2004-03-20","2004","0010000001111100",80,223,28.7106598984772,1,1,2,0,-8,NA,NA
"5609","Great Horned Owl","GHOW","14-1-A",10,"2004-03-20","2004","0000000000000000",80,223,28.7106598984772,1,1,2,0,-8,NA,NA
"5610","Northern Saw-whet Owl","NSWO","14-1-A",10,"2004-03-20","2004","0000000000000000",80,223,28.7106598984772,1,1,2,0,-8,NA,NA
"6571","Barred Owl","BARR","14-3-B",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6572","Great Horned Owl","GHOW","14-3-B",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6573","Northern Saw-whet Owl","NSWO","14-3-B",1,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6574","Barred Owl","BARR","14-3-B",2,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6575","Great Horned Owl","GHOW","14-3-B",2,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6576","Northern Saw-whet Owl","NSWO","14-3-B",2,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6577","Barred Owl","BARR","14-3-B",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6578","Great Horned Owl","GHOW","14-3-B",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6579","Northern Saw-whet Owl","NSWO","14-3-B",3,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6580","Barred Owl","BARR","14-3-B",4,"2004-03-20","2004","0000000000000001",80,62,28.7106598984772,0,1,2,0,-9,NA,NA
"6581","Great Horned Owl","GHOW","14-3-B",4,"2004-03-20","2004","0000000000000000",80,62,28.7106598984772,0,1,2,0,-9,NA,NA
"6582","Northern Saw-whet Owl","NSWO","14-3-B",4,"2004-03-20","2004","0000000000000000",80,62,28.7106598984772,0,1,2,0,-9,NA,NA
"6583","Barred Owl","BARR","14-3-B",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6584","Great Horned Owl","GHOW","14-3-B",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6585","Northern Saw-whet Owl","NSWO","14-3-B",5,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6586","Barred Owl","BARR","14-3-B",6,"2004-03-20","2004","0000000000000000",80,105,28.7106598984772,0,1,1,0,-8,NA,NA
"6587","Great Horned Owl","GHOW","14-3-B",6,"2004-03-20","2004","0000100000000011",80,105,28.7106598984772,0,1,1,0,-8,NA,NA
"6588","Northern Saw-whet Owl","NSWO","14-3-B",6,"2004-03-20","2004","0000000000000000",80,105,28.7106598984772,0,1,1,0,-8,NA,NA
"6589","Barred Owl","BARR","14-3-B",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6590","Great Horned Owl","GHOW","14-3-B",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6591","Northern Saw-whet Owl","NSWO","14-3-B",7,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
"6592","Barred Owl","BARR","14-3-B",8,"2004-03-20","2004","0000000000000000",80,172.869488536155,28.7106598984772,0.591150442477876,1.36185383244207,1.74016686531585,0.0317460317460317,0.26833855799373,NA,NA
